date func specc mod
2019.8.11 7 4 4
2019.8.13 0 2 3
2019.9.8 8 3 2
2019.9.9 0 0 3
2019.9.12 0 0 1
2019.9.24 0 0 2
2019.9.26 0 0 1
2019.10.7 0 0 1
2019.10.14 2 3 0
2019.10.31 0 0 1
2019.11.10 6 2 1
2019.11.18 1 0 0
2019.11.25 0 0 2
2019.12.8 4 2 0
2019.12.17 0 0 1
2020.1.10 1 0 1
2020.1.12 5 2 2
2020.2.9 4 4 1
2020.2.21 3 0 0
2020.2.29 0 0 1
2020.3.8 5 1 1
2020.3.12 0 0 1
2020.4.12 3 4 1
2020.5.10 1 7 0
2020.5.18 0 4 2
2020.5.26 0 0 1
2020.6.8 1 0 0
2020.6.14 3 3 2
2020.6.15 0 0 1
2020.7.12 4 5 3
2020.7.16 0 0 5
2020.8.9 4 2 5
2020.8.11 0 0 4
2020.9.13 5 8 6
2020.9.25 0 0 3
2020.10.11 5 2 3
2020.10.13 0 0 2
2020.11.8 3 4 5
2020.11.20 2 0 3
2020.12.13 3 3 1
2020.12.25 0 0 2
2021.1.10 3 4 0
2021.1.14 0 0 1
2021.1.27 0 0 1
2021.2.14 5 2 1
2021.3.5 0 1 5
2021.3.14 4 6 0
2021.4.11 2 4 0
2021.4.14 0 0 1
2021.5.9 8 3 1
2021.5.14 0 0 2
2021.6.13 7 2 1
2021.7.11 5 3 0
2021.7.14 0 0 1
2021.8.8 4 3 1
2021.9.12 3 2 0
2021.10.4 0 0 1
2021.10.10 3 2 3
2021.10.12 0 0 1
2021.10.20 0 0 1
2021.11.14 3 0 1
2021.11.10 0 0 1
2021.11.24 0 0 1
2021.12.12 4 1 2
2022.1.9 2 0 0 
2022.1.21 0 0 1
2022.2.4 0 0 1
2022.2.10 0 2 0
2022.2.13 2 0 1
2022.3.13 3 1 4
2022.4.10 5 2 0
2022.5.8 1 1 0
2022.5.20 0 0 1
2022.6.12 3 1 1
2022.6.10 0 1 0
2022.6.15 0 0 1
2022.7.6 0 0 1
2022.7.10 2 2 0
2022.7.14 0 0 1
2022.7.20 0 0 1
2022.7.29 0 2 0
2022.8.14 1 1 0
2022.9.9 0 1 2
2022.9.11 3 2 1
2022.9.16 0 1 0
2022.10.9 6 0 0
2022.11.13 3 3 0
2022.12.11 1 1 0
2022.12.12 1 1 0
2022.12.26 0 0 1
2023.1.8 2 0 1
2023.1.13 0 0 1
2023.1.17 0 0 1
2023.1.26 0 2 0
2023.2.12 2 0 1
2023.2.14 0 1 2
2023.2.22 0 1 1
2023.3.12 1 0 0 
2023.3.13 0 0 1
2023.3.17 0 0 1
2023.3.30 0 0 1
2023.4.9 2 0 1
2023.4.14 1 0 0
2023.4.25 1 0 0
2023.5.14 3 1 0
2023.5.18 0 0 1
2023.5.22 1 0 1
2023.5.24 0 0 1
2023.5.30 1 0 0
2023.6.11 5 0 0
2023.6.20 2 0 0
2023.6.21 0 0 1
2023.6.22 0 0 2
2023.7.4 0 3 0
2023.7.9 9 1 0
2023.7.12 1 1 0
2023.7.24 1 0 0
2023.8.3 1 0 0
2023.8.8 3 0 4
2023.8.13 5 0 0
2023.8.14 1 0 0
2022.8.22 1 0 0
2022.8.28 0 0 1
2023.9.10 2 0 0
2023.9.11 2 1 0
2023.9.11 0 0 2
2023.9.13 3 0 1
2023.9.20 2 0 0
2023.9.21 1 0 0
2023.9.29 0 0 1
2023.10.5 0 0 3
2023.10.8 4 3 0
2023.10.11 1 0 0
2023.10.17 1 0 0
2023.10.17 2 0 2
2023.10.24 0 0 1
2023.10.30 1 0 0
2023.11.2 0 1 0
2023.11.6 0 2 0
2023.11.12 4 2 0
2023.11.17 1 0 0
2023.11.21 1 0 0
2023.11.27 2 0 0
2023.12.5 1 0 0
2023.12.10 4 2 1
2023.12.14 2 0 0
2023.12.19 1 0 0
2023.12.21 6 0 0
2023.12.26 1 0 0
2023.12.27 1 0 0
2024.1.12 1 0 0
2024.1.14 3 0 0
2024.1.17 1 0 0
2024.1.22 3 2 3
2024.1.26 1 0 0
2024.1.30 3 1 0
2024.1.30 0 1 0
2024.2.1 3 1 0
2024.2.2 1 0 0
2024.2.6 2 0 0
2024.2.11 0 1 0
2024.2.14 3 1 1
2024.2.19 0 2 0
2024.2.20 1 0 0
2024.2.21 3 0 0
2024.2.28 1 1 0
2024.2.28 0 1 0
2024.2.29 1 0 0
2024.3.4 1 0 0
2024.3.5 0 1 0
2024.3.10 10 0 0
2024.3.10 3 0 0
2024.3.11 1 3 0
2024.3.12 0 1 0
2024.3.13 1 2 0
2024.3.15 1 0 0
2024.3.18 1 0 0
2024.3.21 1 1 0
2024.3.25 2 2 0
2024.3.29 0 1 0
2024.4.1 1 1 1
2024.4.2 0 1 0
2024.4.4 1 0 0
2024.4.8 0 1 0
2024.4.14 5 0 0
2024.4.14 1 0 0
2024.4.15 1 0 0
2024.4.16 0 1 1
2024.4.17 0 2 0
2024.4.19 3 1 0
2024.4.24 0 2 0
2024.5.8 0 0 1
2024.5.10 0 2 0
2024.5.12 10 1 0
2024.5.15 2 1 0
2024.5.16 0 1 0
2024.5.22 0 1 0
2024.5.24 1 0 0
2024.6.5 0 1 0
2024.6.9 4 2 0
2024.6.11 0 1 0
2024.6.13 0 1 0
2024.6.14 0 1 0
2024.6.18 0 0 1
2024.6.21 1 0 0
2024.6.28 1 0 0
2024.7.1 0 0 1
2024.7.14 8 1 0
2024.7.18 2 1 1
2024.8.1 0 0 1
2024.8.6 0 1 0
2024.8.11 5 0 0
2024.8.11 1 0 0
2024.8.13 0 0 1
2024.8.15 1 0 0
2024.8.16 0 0 1
2024.8.19 1 0 0
2024.8.20 1 0 0
2024.8.21 0 1 0
2024.8.26 1 0 0
2024.8.28 0 1 0
2024.9.6 0 1 0
2024.9.8 4 4 0
2024.9.9 0 1 0
2024.9.11 1 0 0
2024.9.17 1 0 0
2024.9.26 0 0 1
2024.10.1 3 1 0
2024.10.10 1 0 0
2024.10.13 1 5 0
2024.10.15 1 3 0
2024.10.16 0 2 0
2024.10.17 0 0 1
2024.10.22 1 0 0
2024.10.23 0 1 0
2024.10.24 0 0 2
2024.10.28 0 1 0
2024.10.31 0 1 2
2024.11.1 3 1 4
2024.11.11 0 1 0
2024.11.12 0 0 1
2024.11.13 0 1 2
2024.11.15 0 1 0
2024.11.18 1 0 0
2024.11.19 1 0 1
2024.11.21 0 0 1
2024.11.25 0 0 1
2024.11.26 0 1 2
2024.12.4 0 1 0
2024.12.8 3 2 3
2024.12.11 0 3 0
2024.12.16 1 0 0
2024.12.17 0 0 1
2025.1.7 0 1 0
2025.1.12 6 2 0
2025.1.15 0 1 0
2025.1.28 0 1 0
2025.1.30 1 1 0
2025.2.3 0 0 2
2025.2.9 1 2 0
2025.2.18 0 1 0
2025.2.19 1 0 0
2025.2.20 1 0 0
2025.2.25 0 1 0
2025.3.3 0 1 1
2025.3.5 0 1 1
2025.3.9 1 0 1
2025.3.11 0 1 0
2025.3.13 0 0 1
2025.3.18 0 2 0
2025.3.25 0 1 0
2025.3.26 0 0 1
2025.3.27 2 0 0
2025.4.2 0 1 1
2025.4.7 0 0 3
2025.4.10 0 0 1
2025.4.13 3 0 0
2025.4.15 0 0 1
2025.4.17 0 1 0
2025.4.23 0 2 0
2025.4.24 0 0 1
2025.5.7 0 1 0
2025.5.8 0 1 0
2025.5.11 2 0 0
2025.5.12 0 0 1
2025.5.15 1 1 0
2025.5.16 0 0 1
2025.5.19 1 0 1
2025.5.22 1 0 0
2025.5.26 0 0 1
2025.5.28 0 1 0
2025.6.5 1 0 0
2025.6.8 1 1 0
2025.6.9 1 1 0
2025.6.11 0 1 1
2025.6.16 2 0 0
2025.6.17 1 0 0
2025.6.19 1 0 0
2025.6.24 4 0 1
2025.6.25 0 1 0
2025.6.30 1 0 0
2025.7.1 0 0 1
2025.7.3 1 0 0
2025.7.8 1 1 0
2025.7.10 0 0 1
2025.7.13 1 6 0
2025.7.22 0 1 0
2025.7.24 0 0 2
2025.7.29 1 0 0
2025.7.30 1 1 0
2025.8.5 0 1 0
2025.8.7 1 0 0
2025.8.10 3 6 0
2025.8.13 1 2 0
2025.8.25 2 2 0
2025.8.27 1 1 0
2025.8.28 0 0 1
2025.9.11 0 0 1
2025.9.12 0 3 0
2025.9.14 5 3 0
2025.9.18 1 0 0
2025.9.24 1 0 1
2025.10.6 0 1 0
2025.10.7 0 1 0
2025.10.12 7 4 0
2025.10.15 0 2 2
2025.10.20 2 0 0
2025.10.22 1 0 0
2025.10.23 0 1 1
2025.10.27 4 0 0
2025.10.30 0 0 2
2025.11.5 1 0 0
2025.11.9 1 4 0
